country,sex,year,industry
aut,mf,2008,26.5
aut,m,2008,38.599998474121094
aut,f,2008,12.399999618530273
aut,mf,2009,25.299999237060547
aut,m,2009,37.29999923706055
aut,f,2009,11.5
aut,mf,2010,25.200000762939453
aut,m,2010,37.099998474121094
aut,f,2010,11.600000381469727
aut,mf,2011,26.299999237060547
aut,m,2011,38.29999923706055
aut,f,2011,12.5
aut,mf,2012,26.399999618530273
aut,m,2012,38.400001525878906
aut,f,2012,12.800000190734863
aut,mf,2013,26.200000762939453
aut,m,2013,37.79999923706055
aut,f,2013,13.199999809265137
aut,mf,2014,26.100000381469727
aut,m,2014,37.900001525878906
aut,f,2014,12.800000190734863
aze,mf,1983,29.100000381469727
aze,mf,1984,29.100000381469727
aze,mf,1985,29.299999237060547
aze,mf,1986,29.299999237060547
aze,mf,1987,29.100000381469727
aze,mf,1988,29.299999237060547
aze,mf,1989,29.0
aze,mf,1990,22.899999618530273
aze,mf,1991,22.299999237060547
aze,mf,1992,20.299999237060547
aze,mf,1993,19.200000762939453
aze,mf,1994,18.799999237060547
aze,mf,1995,17.799999237060547
aze,mf,1996,15.100000381469727
aze,mf,1997,14.0
aze,mf,1998,11.100000381469727
aze,mf,1999,11.199999809265137
aze,m,1999,14.199999809265137
aze,f,1999,7.800000190734863
aze,mf,2000,10.899999618530273
aze,m,2000,13.899999618530273
aze,f,2000,7.5
aze,mf,2001,10.800000190734863
aze,m,2001,14.100000381469727
aze,f,2001,7.199999809265137
aze,mf,2002,11.5
aze,m,2002,15.199999809265137
aze,f,2002,7.5
aze,mf,2003,11.5
aze,m,2003,15.199999809265137
aze,f,2003,7.5
aze,mf,2004,11.899999618530273
aze,m,2004,15.199999809265137
aze,f,2004,8.300000190734863
aze,mf,2005,12.100000381469727
aze,m,2005,15.199999809265137
aze,f,2005,8.699999809265137
aze,mf,2006,12.699999809265137
aze,m,2006,16.100000381469727
aze,f,2006,9.0
aze,mf,2007,12.800000190734863
aze,m,2007,16.600000381469727
aze,f,2007,8.899999618530273
aze,mf,2008,12.699999809265137
aze,m,2008,18.200000762939453
aze,f,2008,7.099999904632568
aze,mf,2009,12.699999809265137
aze,m,2009,19.399999618530273
aze,f,2009,5.599999904632568
aze,mf,2010,13.699999809265137
aze,m,2010,20.899999618530273
aze,f,2010,6.099999904632568
aze,mf,2011,14.100000381469727
aze,m,2011,21.5
aze,f,2011,6.199999809265137
aze,mf,2012,14.300000190734863
aze,m,2012,21.899999618530273
aze,f,2012,6.199999809265137
aze,mf,2013,14.399999618530273
aze,m,2013,22.200000762939453
aze,f,2013,6.0
aze,mf,2014,14.300000190734863
bhs,mf,1986,15.300000190734863
bhs,m,1986,22.299999237060547
bhs,f,1986,8.300000190734863
bhs,mf,1989,14.300000190734863
bhs,m,1989,22.100000381469727
bhs,f,1989,5.400000095367432
bhs,mf,1991,15.199999809265137
bhs,m,1991,24.200000762939453
bhs,f,1991,5.099999904632568
bhs,mf,1992,15.300000190734863
bhs,m,1992,24.200000762939453
bhs,f,1992,5.099999904632568
bhs,mf,1993,12.100000381469727
bhs,m,1993,18.700000762939453
bhs,f,1993,4.800000190734863
bhs,mf,1994,12.899999618530273
bhs,m,1994,19.600000381469727
bhs,f,1994,5.300000190734863
bhs,mf,1995,14.199999809265137
bhs,m,1995,22.299999237060547
bhs,f,1995,5.400000095367432
bhs,mf,1996,14.699999809265137
bhs,m,1996,22.299999237060547
bhs,f,1996,5.699999809265137
bhs,mf,1997,14.600000381469727
bhs,m,1997,22.399999618530273
bhs,f,1997,6.0
bhs,mf,1998,15.199999809265137
bhs,m,1998,24.399999618530273
bhs,f,1998,5.400000095367432
bhs,mf,1999,16.600000381469727
bhs,m,1999,26.5
bhs,f,1999,5.400000095367432
bhs,mf,2001,17.0
bhs,m,2001,27.100000381469727
bhs,f,2001,6.099999904632568
bhs,mf,2002,16.600000381469727
bhs,m,2002,28.299999237060547
bhs,f,2002,4.300000190734863
bhs,mf,2003,15.800000190734863
bhs,m,2003,25.600000381469727
bhs,f,2003,5.599999904632568
bhs,mf,2004,16.100000381469727
bhs,m,2004,26.299999237060547
bhs,f,2004,5.199999809265137
bhs,mf,2005,17.799999237060547
bhs,m,2005,29.600000381469727
bhs,f,2005,5.099999904632568
bhs,mf,2006,18.399999618530273
bhs,m,2006,30.600000381469727
bhs,f,2006,5.199999809265137
bhs,mf,2007,17.899999618530273
bhs,m,2007,29.399999618530273
bhs,f,2007,5.400000095367432
bhs,mf,2008,16.200000762939453
bhs,m,2008,27.299999237060547
bhs,f,2008,4.199999809265137
bhs,mf,2009,16.0
bhs,m,2009,27.899999618530273
bhs,f,2009,3.700000047683716
bhs,mf,2011,12.899999618530273
bhs,m,2011,21.700000762939453
bhs,f,2011,4.099999904632568
bhr,mf,1981,34.70000076293945
bhr,m,1981,38.20000076293945
bhr,f,1981,5.400000095367432
bhr,mf,1982,34.20000076293945
bhr,m,1982,37.79999923706055
bhr,f,1982,5.199999809265137
bhr,mf,1991,28.5
bhr,m,1991,32.79999923706055
bhr,f,1991,7.099999904632568
bhr,mf,2001,28.0
bhr,m,2001,31.799999237060547
bhr,f,2001,13.300000190734863
bhr,mf,2004,15.0
bhr,m,2004,18.200000762939453
bhr,f,2004,3.0
bhr,mf,2010,35.29999923706055
bhr,m,2010,42.099998474121094
bhr,f,2010,9.0
bgd,mf,1984,11.0
bgd,m,1984,9.300000190734863
bgd,f,1984,29.100000381469727
bgd,mf,1985,11.5
bgd,m,1985,10.0
bgd,f,1985,26.700000762939453
bgd,mf,1986,12.5
bgd,m,1986,9.800000190734863
bgd,f,1986,35.79999923706055
bgd,mf,1989,15.399999618530273
bgd,m,1989,10.899999618530273
bgd,f,1989,21.899999618530273
bgd,mf,1991,13.0
bgd,m,1991,15.699999809265137
bgd,f,1991,8.800000190734863
bgd,mf,1996,9.600000381469727
bgd,m,1996,10.800000190734863
bgd,f,1996,7.599999904632568
bgd,mf,2000,10.300000190734863
bgd,m,2000,11.0
bgd,f,2000,9.0
bgd,mf,2002,13.699999809265137
bgd,m,2002,12.300000190734863
bgd,f,2002,18.399999618530273
bgd,mf,2003,13.699999809265137
bgd,m,2003,12.300000190734863
bgd,f,2003,18.399999618530273
bgd,mf,2005,14.5
bgd,m,2005,15.100000381469727
bgd,f,2005,12.5
bgd,mf,2010,17.700000762939453
bgd,m,2010,19.600000381469727
bgd,f,2010,13.300000190734863
brb,mf,1981,21.600000381469727
brb,m,1981,23.700000762939453
brb,f,1981,18.700000762939453
brb,mf,1982,23.600000381469727
brb,m,1982,27.399999618530273
brb,f,1982,18.700000762939453
brb,mf,1983,23.399999618530273
brb,m,1983,26.899999618530273
brb,f,1983,18.799999237060547
brb,mf,1984,22.799999237060547
brb,m,1984,25.600000381469727
brb,f,1984,19.0
brb,mf,1985,23.200000762939453
brb,m,1985,27.899999618530273
brb,f,1985,17.200000762939453
brb,mf,1986,22.200000762939453
brb,m,1986,26.899999618530273
brb,f,1986,16.399999618530273
brb,mf,1987,22.399999618530273
brb,m,1987,27.299999237060547
brb,f,1987,16.200000762939453
brb,mf,1988,22.700000762939453
brb,m,1988,29.0
brb,f,1988,15.199999809265137
brb,mf,1989,23.200000762939453
brb,m,1989,30.700000762939453
brb,f,1989,14.600000381469727
brb,mf,1990,21.899999618530273
brb,m,1990,28.799999237060547
brb,f,1990,13.5
brb,mf,1991,20.100000381469727
brb,m,1991,26.0
brb,f,1991,12.800000190734863
brb,mf,1992,19.700000762939453
brb,m,1992,25.899999618530273
brb,f,1992,12.5
brb,mf,1993,19.100000381469727
brb,m,1993,24.600000381469727
brb,f,1993,12.699999809265137
brb,mf,1994,18.899999618530273
brb,m,1994,25.200000762939453
brb,f,1994,11.699999809265137
brb,mf,1995,19.600000381469727
brb,m,1995,25.5
brb,f,1995,12.899999618530273
brb,mf,1996,18.600000381469727
brb,m,1996,24.899999618530273
brb,f,1996,11.399999618530273
brb,mf,1997,19.200000762939453
brb,m,1997,26.600000381469727
brb,f,1997,10.699999809265137
brb,mf,1998,20.899999618530273
brb,m,1998,28.799999237060547
brb,f,1998,11.800000190734863
brb,mf,1999,21.399999618530273
brb,m,1999,30.399999618530273
brb,f,1999,11.0
brb,mf,2000,20.399999618530273
brb,m,2000,29.299999237060547
brb,f,2000,10.699999809265137
brb,mf,2001,19.600000381469727
brb,m,2001,28.299999237060547
brb,f,2001,9.899999618530273
brb,mf,2002,18.700000762939453
brb,m,2002,26.600000381469727
brb,f,2002,10.0
brb,mf,2003,17.600000381469727
brb,m,2003,25.5
brb,f,2003,9.0
brb,mf,2004,17.299999237060547
brb,m,2004,26.200000762939453
brb,f,2004,7.800000190734863
brb,mf,2010,19.600000381469727
brb,m,2010,29.799999237060547
brb,f,2010,8.899999618530273
brb,mf,2011,20.399999618530273
brb,m,2011,30.299999237060547
brb,f,2011,9.699999809265137
brb,mf,2012,19.399999618530273
brb,m,2012,28.200000762939453
brb,f,2012,9.899999618530273
brb,mf,2013,18.899999618530273
brb,m,2013,27.299999237060547
brb,f,2013,10.199999809265137
blr,mf,1987,36.900001525878906
blr,mf,1988,37.70000076293945
blr,mf,1989,38.5
blr,mf,1990,38.5
blr,mf,1991,37.29999923706055
blr,mf,1992,36.900001525878906
blr,mf,1993,36.20000076293945
blr,mf,1994,34.900001525878906
blr,mf,2009,33.70000076293945
blr,m,2009,43.29999923706055
blr,f,2009,24.0
blr,mf,2010,34.099998474121094
blr,mf,2011,34.099998474121094
blr,mf,2012,33.29999923706055
blr,mf,2013,33.20000076293945
bel,mf,1980,34.29999923706055
bel,m,1980,43.0
bel,f,1980,18.200000762939453
bel,mf,1981,32.79999923706055
bel,m,1981,41.5
bel,f,1981,17.0
bel,mf,1982,31.799999237060547
bel,m,1982,40.400001525878906
bel,f,1982,16.399999618530273
bel,mf,1983,31.0
bel,m,1983,39.599998474121094
bel,f,1983,16.0
bel,mf,1984,30.399999618530273
bel,m,1984,39.0
bel,f,1984,15.699999809265137
bel,mf,1985,29.799999237060547
bel,m,1985,38.5
bel,f,1985,15.199999809265137
bel,mf,1986,29.200000762939453
bel,m,1986,38.0
bel,f,1986,14.899999618530273
bel,mf,1987,28.5
bel,m,1987,37.400001525878906
bel,f,1987,14.300000190734863
bel,mf,1988,31.200000762939453
bel,m,1988,39.70000076293945
bel,f,1988,16.5
bel,mf,1989,31.299999237060547
bel,m,1989,40.20000076293945
bel,f,1989,15.899999618530273
bel,mf,1990,30.600000381469727
bel,m,1990,39.5
bel,f,1990,15.699999809265137
bel,mf,1991,30.399999618530273
bel,m,1991,40.099998474121094
bel,f,1991,14.699999809265137
bel,mf,1992,30.600000381469727
bel,m,1992,40.5
bel,f,1992,15.5
bel,mf,1993,29.5
bel,m,1993,39.70000076293945
bel,f,1993,14.100000381469727
bel,mf,1994,28.899999618530273
bel,m,1994,38.599998474121094
bel,f,1994,14.199999809265137
bel,mf,1995,28.299999237060547
bel,m,1995,38.099998474121094
bel,f,1995,13.600000381469727
bel,mf,1996,27.600000381469727
bel,m,1996,37.29999923706055
bel,f,1996,13.300000190734863
bel,mf,1997,27.5
bel,m,1997,37.400001525878906
bel,f,1997,13.199999809265137
bel,mf,1998,27.200000762939453
bel,m,1998,37.400001525878906
bel,f,1998,12.800000190734863
bel,mf,1999,25.899999618530273
bel,m,1999,36.5
bel,f,1999,11.5
bel,mf,2000,25.899999618530273
bel,m,2000,36.400001525878906
bel,f,2000,11.699999809265137
bel,mf,2001,25.600000381469727
bel,m,2001,35.400001525878906
bel,f,2001,11.800000190734863
bel,mf,2002,25.799999237060547
bel,m,2002,35.79999923706055
bel,f,2002,12.399999618530273
bel,mf,2003,24.799999237060547
bel,m,2003,35.0
bel,f,2003,11.399999618530273
bel,mf,2004,25.0
bel,m,2004,35.900001525878906
bel,f,2004,10.899999618530273
