country,sex,year,total_employment_000
btn,f,2009,150.39999389648438
btn,mf,2010,320.8999938964844
btn,m,2010,165.89999389648438
btn,f,2010,155.0
btn,mf,2011,323.70001220703125
btn,m,2011,170.10000610351562
btn,f,2011,153.5
btn,mf,2012,329.49200439453125
btn,m,2012,161.36300659179688
btn,f,2012,168.12899780273438
btn,mf,2013,335.8699951171875
btn,m,2013,182.38699340820312
btn,f,2013,153.48300170898438
bol,mf,1980,1719.5999755859375
bol,m,1980,1316.699951171875
bol,f,1980,402.8999938964844
bol,mf,1981,1684.5
bol,m,1981,1281.0
bol,f,1981,403.5
bol,mf,1982,1708.0
bol,m,1982,1278.5999755859375
bol,f,1982,429.3999938964844
bol,mf,1983,1678.5999755859375
bol,m,1983,1254.5
bol,f,1983,424.1000061035156
bol,mf,1984,1705.5
bol,m,1984,1269.199951171875
bol,f,1984,436.29998779296875
bol,mf,1985,1685.800048828125
bol,m,1985,1252.5999755859375
bol,f,1985,433.29998779296875
bol,mf,1986,1661.4000244140625
bol,m,1986,1231.0
bol,f,1986,430.5
bol,mf,1987,1670.300048828125
bol,m,1987,1240.5
