country,sex,year,not_adequately_defined_000
aze,mf,1995,565.4000244140625
aze,mf,1996,566.5
aze,mf,1997,542.2999877929688
bhs,mf,1986,0.24500000476837158
bhs,m,1986,0.16500000655651093
bhs,f,1986,0.07999999821186066
bhs,mf,1989,1.9900000095367432
bhs,m,1989,0.7900000214576721
bhs,f,1989,1.2000000476837158
bhs,mf,1991,0.2809999883174896
bhs,m,1991,0.08399999886751175
bhs,f,1991,0.19699999690055847
bhs,mf,1992,0.2800000011920929
bhs,m,1992,0.08500000089406967
bhs,f,1992,0.19499999284744263
bhs,mf,1993,0.5170000195503235
bhs,m,1993,0.2770000100135803
bhs,f,1993,0.23999999463558197
bhs,mf,1994,0.7250000238418579
bhs,m,1994,0.4000000059604645
bhs,f,1994,0.32499998807907104
bhs,mf,1995,0.3149999976158142
bhs,m,1995,0.14499999582767487
bhs,f,1995,0.17000000178813934
bhs,mf,1996,0.6600000262260437
bhs,m,1996,0.46000000834465027
bhs,f,1996,0.20000000298023224
bhs,mf,1997,0.4449999928474426
bhs,m,1997,0.27000001072883606
bhs,f,1997,0.17499999701976776
bhs,mf,1998,0.5600000023841858
bhs,m,1998,0.25999999046325684
bhs,f,1998,0.30000001192092896
bhs,mf,1999,0.6299999952316284
bhs,m,1999,0.42500001192092896
bhs,f,1999,0.20499999821186066
bhs,mf,2001,0.6650000214576721
bhs,m,2001,0.4350000023841858
bhs,f,2001,0.23000000417232513
bhs,mf,2002,0.7300000190734863
bhs,m,2002,0.2549999952316284
bhs,f,2002,0.4749999940395355
bhs,mf,2003,0.4449999928474426
bhs,m,2003,0.3400000035762787
bhs,f,2003,0.10499999672174454
bhs,mf,2004,0.17000000178813934
bhs,m,2004,0.13500000536441803
bhs,f,2004,0.03500000014901161
bhs,mf,2005,0.5350000262260437
bhs,m,2005,0.36500000953674316
bhs,f,2005,0.17000000178813934
bhs,mf,2006,0.4749999940395355
bhs,m,2006,0.23499999940395355
bhs,f,2006,0.23999999463558197
bhs,mf,2007,0.38999998569488525
bhs,m,2007,0.24500000476837158
bhs,f,2007,0.14499999582767487
bhs,mf,2008,0.7799999713897705
