country,sex,year,industry_000
bel,m,1983,893.7000122070312
bel,f,1983,206.3000030517578
bel,mf,1984,1076.800048828125
bel,m,1984,872.2000122070312
bel,f,1984,204.5
bel,mf,1985,1061.300048828125
bel,m,1985,859.4000244140625
bel,f,1985,201.89999389648438
bel,mf,1986,1047.5999755859375
bel,m,1986,846.5999755859375
bel,f,1986,201.10000610351562
bel,mf,1987,1026.800048828125
bel,m,1987,829.4000244140625
bel,f,1987,197.39999389648438
bel,mf,1988,1089.4000244140625
bel,m,1988,877.9000244140625
bel,f,1988,211.60000610351562
bel,mf,1989,1123.9000244140625
bel,m,1989,913.0
bel,f,1989,210.89999389648438
bel,mf,1990,1111.300048828125
bel,m,1990,896.5999755859375
bel,f,1990,214.6999969482422
bel,mf,1991,1132.300048828125
bel,m,1991,921.5999755859375
bel,f,1991,210.5
bel,mf,1992,1154.6309814453125
bel,m,1992,924.8489990234375
bel,f,1992,229.78199768066406
bel,mf,1993,1102.7950439453125
bel,m,1993,891.5280151367188
bel,f,1993,211.26699829101562
bel,mf,1994,1082.366943359375
bel,m,1994,870.0880126953125
bel,f,1994,212.2790069580078
bel,mf,1995,1071.510986328125
bel,m,1995,865.3770141601562
bel,f,1995,206.13499450683594
bel,mf,1996,1047.4520263671875
bel,m,1996,845.406982421875
bel,f,1996,202.04400634765625
bel,mf,1997,1057.1800537109375
bel,m,1997,850.43798828125
bel,f,1997,206.74099731445312
bel,mf,1998,1050.801025390625
bel,m,1998,848.301025390625
bel,f,1998,202.5
bel,mf,1999,1025.5
bel,m,1999,833.4000244140625
bel,f,1999,192.10000610351562
bel,mf,2000,1061.199951171875
bel,m,2000,858.7999877929688
bel,f,2000,202.39999389648438
bel,mf,2001,1026.5
bel,m,2001,821.4000244140625
bel,f,2001,199.60000610351562
bel,mf,2002,1041.0999755859375
bel,m,2002,828.5
bel,f,2002,212.60000610351562
bel,mf,2003,1000.4000244140625
bel,m,2003,802.4000244140625
bel,f,2003,197.89999389648438
bel,mf,2004,1031.0999755859375
bel,m,2004,835.5999755859375
bel,f,2004,195.39999389648438
bel,mf,2005,1040.9000244140625
bel,m,2005,832.0999755859375
bel,f,2005,208.89999389648438
bel,mf,2006,1049.300048828125
bel,m,2006,848.2000122070312
bel,f,2006,201.10000610351562
bel,mf,2007,1066.800048828125
bel,m,2007,853.4000244140625
bel,f,2007,213.39999389648438
bel,mf,2008,1091.800048828125
bel,m,2008,888.2999877929688
bel,f,2008,203.60000610351562
bel,mf,2009,1033.9000244140625
bel,m,2009,840.0
bel,f,2009,193.8000030517578
bel,mf,2010,1044.800048828125
bel,m,2010,840.5
bel,f,2010,204.1999969482422
bel,mf,2011,1041.4000244140625
bel,m,2011,843.5999755859375
bel,f,2011,197.89999389648438
bel,mf,2012,978.2999877929688
bel,m,2012,801.0
bel,f,2012,177.3000030517578
bel,mf,2013,978.4000244140625
bel,m,2013,800.2000122070312
bel,f,2013,178.1999969482422
bel,mf,2014,967.0999755859375
bel,m,2014,792.4000244140625
bel,f,2014,174.6999969482422
blz,mf,1993,12.515000343322754
blz,m,1993,9.944999694824219
