country,sex,year,not_adequately_defined
brb,m,2010,0.10000000149011612
brb,f,2010,0.0
brb,mf,2011,0.20000000298023224
brb,m,2011,
brb,f,2011,
brb,mf,2012,
brb,m,2012,
brb,f,2012,
brb,mf,2013,
brb,m,2013,
brb,f,2013,
blr,mf,1987,3.5
blr,mf,1988,3.700000047683716
blr,mf,1989,3.799999952316284
blr,mf,1990,3.799999952316284
blr,mf,1991,4.900000095367432
blr,mf,1992,4.099999904632568
blr,mf,1993,3.9000000953674316
blr,mf,1994,3.9000000953674316
blr,mf,2009,5.900000095367432
blr,m,2009,6.199999809265137
blr,f,2009,5.699999809265137
blr,mf,2010,
blr,mf,2011,
blr,mf,2012,
blr,mf,2013,
bel,mf,1980,
bel,m,1980,
bel,f,1980,
bel,mf,1981,
bel,m,1981,
bel,f,1981,
bel,mf,1982,
bel,m,1982,
bel,f,1982,
bel,mf,1983,
bel,m,1983,
bel,f,1983,
bel,mf,1984,
bel,m,1984,
bel,f,1984,
bel,mf,1985,
bel,m,1985,
bel,f,1985,
bel,mf,1986,
bel,m,1986,
bel,f,1986,
bel,mf,1987,
bel,m,1987,
bel,f,1987,
bel,mf,1988,1.0
bel,m,1988,0.5
bel,f,1988,1.7000000476837158
bel,mf,1989,0.8999999761581421
bel,m,1989,0.30000001192092896
bel,f,1989,1.899999976158142
bel,mf,1990,0.800000011920929
bel,m,1990,0.4000000059604645
bel,f,1990,1.5
bel,mf,1991,0.800000011920929
bel,m,1991,0.4000000059604645
bel,f,1991,1.5
bel,mf,1992,
bel,m,1992,
bel,f,1992,
bel,mf,1993,
bel,m,1993,
bel,f,1993,
bel,mf,1994,
bel,m,1994,
bel,f,1994,
bel,mf,1995,
bel,m,1995,
bel,f,1995,
bel,mf,1996,
bel,m,1996,
bel,f,1996,
bel,mf,1997,
bel,m,1997,
bel,f,1997,
bel,mf,1998,
bel,m,1998,
bel,f,1998,
bel,mf,1999,
bel,m,1999,
bel,f,1999,
bel,mf,2000,
bel,m,2000,
bel,f,2000,
bel,mf,2001,
bel,m,2001,
bel,f,2001,
bel,mf,2002,
bel,m,2002,
bel,f,2002,
bel,mf,2003,
bel,m,2003,
bel,f,2003,
bel,mf,2004,
bel,m,2004,
bel,f,2004,
bel,mf,2005,
bel,m,2005,
bel,f,2005,
bel,mf,2006,
bel,m,2006,
bel,f,2006,
bel,mf,2007,
bel,m,2007,
bel,f,2007,
bel,mf,2008,
bel,m,2008,
bel,f,2008,
bel,mf,2009,
bel,m,2009,
bel,f,2009,
bel,mf,2010,
bel,m,2010,
bel,f,2010,
bel,mf,2011,
bel,m,2011,
bel,f,2011,
bel,mf,2012,
bel,m,2012,
bel,f,2012,
bel,mf,2013,
bel,m,2013,
bel,f,2013,
bel,mf,2014,
bel,m,2014,
bel,f,2014,
blz,mf,1993,
blz,m,1993,
blz,f,1993,
blz,mf,1994,
blz,m,1994,
blz,f,1994,
blz,mf,1995,
blz,m,1995,
blz,f,1995,
blz,mf,1996,
blz,m,1996,
blz,f,1996,
blz,mf,1997,
blz,m,1997,
blz,f,1997,
blz,mf,1998,
blz,m,1998,
blz,f,1998,
blz,mf,1999,
blz,m,1999,
blz,f,1999,
blz,mf,2004,0.4000000059604645
blz,mf,2005,0.10000000149011612
blz,m,2005,0.10000000149011612
blz,f,2005,0.20000000298023224
ben,mf,2003,1.600000023841858
ben,m,2003,2.5999999046325684
ben,f,2003,0.6000000238418579
ben,mf,2010,0.5
ben,m,2010,0.699999988079071
ben,f,2010,0.30000001192092896
bmu,mf,2000,8.800000190734863
bmu,m,2000,7.5
bmu,f,2000,10.300000190734863
bmu,mf,2001,
bmu,m,2001,
bmu,f,2001,
bmu,mf,2002,
bmu,m,2002,
bmu,f,2002,
bmu,mf,2003,
bmu,m,2003,
bmu,f,2003,
bmu,mf,2004,
bmu,m,2004,
bmu,f,2004,
bmu,mf,2009,
bmu,m,2009,
bmu,f,2009,
bmu,mf,2010,
bmu,m,2010,
bmu,f,2010,
bmu,mf,2011,
bmu,m,2011,
bmu,f,2011,
bmu,mf,2012,
bmu,m,2012,
bmu,f,2012,
bmu,mf,2013,0.4000000059604645
btn,mf,2003,
btn,m,2003,
btn,f,2003,
btn,mf,2005,
btn,m,2005,
btn,f,2005,
btn,mf,2006,
btn,m,2006,
btn,f,2006,
btn,mf,2009,
btn,m,2009,
btn,f,2009,
btn,mf,2010,
btn,m,2010,
btn,f,2010,
btn,mf,2011,
btn,m,2011,
btn,f,2011,
btn,mf,2012,
btn,m,2012,
btn,f,2012,
btn,mf,2013,
btn,m,2013,
btn,f,2013,
bol,mf,1980,
bol,m,1980,
bol,f,1980,
bol,mf,1981,
bol,m,1981,
bol,f,1981,
bol,mf,1982,
bol,m,1982,
bol,f,1982,
bol,mf,1983,
bol,m,1983,
bol,f,1983,
bol,mf,1984,
bol,m,1984,
bol,f,1984,
bol,mf,1985,
bol,m,1985,
bol,f,1985,
bol,mf,1986,
bol,m,1986,
bol,f,1986,
bol,mf,1987,
bol,m,1987,
bol,f,1987,
bol,mf,1988,
bol,m,1988,
bol,f,1988,
bol,mf,1989,0.10000000149011612
bol,m,1989,0.10000000149011612
bol,f,1989,0.10000000149011612
bol,mf,1990,0.4000000059604645
bol,m,1990,0.4000000059604645
bol,f,1990,0.30000001192092896
bol,mf,1991,0.0
bol,m,1991,0.0
bol,f,1991,0.0
bol,mf,1992,0.10000000149011612
bol,m,1992,0.10000000149011612
bol,f,1992,0.0
bol,mf,1993,0.0
bol,m,1993,0.0
bol,f,1993,0.0
bol,mf,1994,0.0
bol,m,1994,0.0
bol,f,1994,0.0
bol,mf,1995,0.10000000149011612
bol,m,1995,0.10000000149011612
bol,f,1995,0.0
bol,mf,1996,0.0
bol,m,1996,0.0
bol,f,1996,0.0
bol,mf,1997,0.0
bol,m,1997,0.0
bol,f,1997,0.0
bol,mf,1999,
bol,m,1999,
bol,f,1999,
bol,mf,2000,
bol,m,2000,
bol,f,2000,
bol,mf,2001,0.0
bol,m,2001,0.0
bol,f,2001,0.0
bol,mf,2002,
bol,m,2002,
bol,f,2002,
bol,mf,2003,
bol,m,2003,
bol,f,2003,
bol,mf,2004,
bol,m,2004,
bol,f,2004,
bol,mf,2005,
bol,m,2005,
bol,f,2005,
bol,mf,2006,
bol,m,2006,
bol,f,2006,
bol,mf,2007,
bol,m,2007,
bol,f,2007,
bol,mf,2008,0.10000000149011612
bol,m,2008,0.0
bol,f,2008,0.10000000149011612
bol,mf,2009,0.10000000149011612
bwa,mf,1985,0.0
bwa,m,1985,0.0
bwa,f,1985,0.0
bwa,mf,1996,0.10000000149011612
bwa,m,1996,0.20000000298023224
bwa,f,1996,0.10000000149011612
bwa,mf,1998,1.600000023841858
bwa,m,1998,1.5
bwa,f,1998,1.7999999523162842
bwa,mf,2000,1.2000000476837158
bwa,m,2000,1.100000023841858
bwa,f,2000,1.2999999523162842
bwa,mf,2001,0.699999988079071
bwa,m,2001,0.6000000238418579
bwa,f,2001,0.8999999761581421
bwa,mf,2003,0.0
bwa,m,2003,0.0
bwa,f,2003,0.0
bwa,mf,2006,0.0
bwa,m,2006,0.0
bwa,f,2006,0.0
bwa,mf,2010,
bwa,m,2010,
bwa,f,2010,
bra,mf,1981,
bra,m,1981,
bra,f,1981,
bra,mf,1982,
bra,m,1982,
bra,f,1982,
bra,mf,1983,
bra,m,1983,
bra,f,1983,
bra,mf,1984,
bra,m,1984,
bra,f,1984,
bra,mf,1985,
bra,m,1985,
bra,f,1985,
bra,mf,1986,
bra,m,1986,
bra,f,1986,
bra,mf,1987,
bra,m,1987,
bra,f,1987,
bra,mf,1988,
bra,m,1988,
bra,f,1988,
bra,mf,1989,
bra,m,1989,
bra,f,1989,
bra,mf,1990,
bra,m,1990,
bra,f,1990,
bra,mf,1992,
bra,m,1992,
bra,f,1992,
bra,mf,1993,
bra,m,1993,
bra,f,1993,
bra,mf,1995,
bra,m,1995,
bra,f,1995,
bra,mf,1996,
bra,m,1996,
bra,f,1996,
bra,mf,1997,
bra,m,1997,
bra,f,1997,
bra,mf,1998,
bra,m,1998,
bra,f,1998,
bra,mf,1999,
bra,m,1999,
bra,f,1999,
bra,mf,2000,1.2999999523162842
bra,m,2000,1.2999999523162842
bra,f,2000,1.2000000476837158
bra,mf,2001,
bra,m,2001,
bra,f,2001,
bra,mf,2002,0.30000001192092896
bra,m,2002,0.4000000059604645
bra,f,2002,0.10000000149011612
bra,mf,2003,0.20000000298023224
bra,m,2003,0.4000000059604645
bra,f,2003,0.10000000149011612
bra,mf,2004,0.30000001192092896
bra,m,2004,0.4000000059604645
bra,f,2004,0.10000000149011612
bra,mf,2005,0.20000000298023224
bra,m,2005,0.4000000059604645
bra,f,2005,0.0
bra,mf,2006,0.20000000298023224
bra,m,2006,0.4000000059604645
bra,f,2006,0.0
bra,mf,2007,0.20000000298023224
bra,m,2007,0.30000001192092896
bra,f,2007,0.10000000149011612
bra,mf,2008,0.20000000298023224
bra,m,2008,0.30000001192092896
bra,f,2008,0.10000000149011612
bra,mf,2009,0.20000000298023224
bra,m,2009,0.4000000059604645
bra,f,2009,0.0
bra,mf,2010,0.5
bra,mf,2011,0.10000000149011612
bra,m,2011,0.20000000298023224
bra,f,2011,0.10000000149011612
bra,mf,2012,0.10000000149011612
bra,m,2012,0.10000000149011612
bra,f,2012,0.0
bra,mf,2013,0.10000000149011612
bra,m,2013,0.10000000149011612
bra,f,2013,0.0
bra,mf,2014,0.5
vgb,mf,1991,0.6000000238418579
vgb,m,1991,0.6000000238418579
