country,sex,year,services_percentage
bmu,f,2004,96.5999984741211
bmu,mf,2009,85.5999984741211
bmu,m,2009,74.5
bmu,f,2009,96.5
bmu,mf,2010,85.69999694824219
bmu,m,2010,75.0
bmu,f,2010,96.4000015258789
bmu,mf,2011,88.30000305175781
bmu,m,2011,79.80000305175781
bmu,f,2011,97.0999984741211
bmu,mf,2012,88.69999694824219
bmu,m,2012,80.5
bmu,f,2012,97.0999984741211
bmu,mf,2013,87.5999984741211
btn,mf,2003,17.5
btn,m,2003,24.899999618530273
btn,f,2003,10.0
btn,mf,2005,39.20000076293945
btn,m,2005,43.70000076293945
btn,f,2005,31.600000381469727
btn,mf,2006,29.799999237060547
btn,m,2006,35.400001525878906
btn,f,2006,22.399999618530273
btn,mf,2009,28.200000762939453
btn,m,2009,36.900001525878906
btn,f,2009,18.799999237060547
btn,mf,2010,33.79999923706055
btn,m,2010,39.29999923706055
btn,f,2010,28.100000381469727
btn,mf,2011,30.600000381469727
btn,m,2011,36.900001525878906
btn,f,2011,23.600000381469727
btn,mf,2012,29.100000381469727
btn,m,2012,41.099998474121094
btn,f,2012,17.700000762939453
btn,mf,2013,32.70000076293945
btn,m,2013,39.900001525878906
btn,f,2013,24.200000762939453
bol,mf,1980,32.900001525878906
bol,m,1980,26.700000762939453
bol,f,1980,53.0
bol,mf,1981,33.900001525878906
bol,m,1981,27.700000762939453
bol,f,1981,53.599998474121094
bol,mf,1982,36.29999923706055
bol,m,1982,29.399999618530273
bol,f,1982,57.0
bol,mf,1983,35.20000076293945
bol,m,1983,28.200000762939453
bol,f,1983,55.70000076293945
bol,mf,1984,36.0
bol,m,1984,28.899999618530273
bol,f,1984,56.5
bol,mf,1985,36.5
bol,m,1985,29.600000381469727
bol,f,1985,56.70000076293945
bol,mf,1986,39.900001525878906
bol,m,1986,33.099998474121094
bol,f,1986,59.20000076293945
bol,mf,1987,39.79999923706055
bol,m,1987,32.79999923706055
bol,f,1987,59.900001525878906
bol,mf,1988,39.79999923706055
bol,m,1988,32.900001525878906
bol,f,1988,60.0
bol,mf,1989,73.0
bol,m,1989,62.70000076293945
bol,f,1989,86.9000015258789
bol,mf,1990,73.19999694824219
bol,m,1990,63.20000076293945
bol,f,1990,88.0
bol,mf,1991,68.80000305175781
bol,m,1991,57.900001525878906
bol,f,1991,84.0
bol,mf,1992,66.4000015258789
bol,m,1992,55.099998474121094
bol,f,1992,82.5
